gender,ip_address,transaction,type,value,date
Male,130.150.228.77,withdraw,savings,736940.65,28-Oct-2019
Male,217.113.141.75,withdraw,checking,514073.71,16-Oct-2019
Female,191.192.4.228,deposit,savings,34542.52,16-Oct-2019
Female,85.20.250.57,withdraw,checking,757563.86,08-Oct-2019
Female,39.119.24.173,withdraw,checking,207502.51,26-Oct-2019
Female,22.9.131.207,withdraw,savings,34404.34,01-Oct-2019
Male,148.50.73.101,withdraw,savings,368828.83,12-Oct-2019
Female,200.22.130.50,withdraw,checking,465619.24,17-Oct-2019
Female,29.155.252.48,deposit,savings,166985.12,12-Oct-2019
Male,103.244.61.127,withdraw,checking,207048.7,13-Oct-2019
Male,104.229.112.94,deposit,savings,68451.66,28-Oct-2019
Female,84.49.169.112,deposit,checking,73012.36,10-Oct-2019
Female,107.214.106.12,withdraw,savings,742459.35,01-Oct-2019
Male,67.68.201.113,withdraw,savings,323055.15,07-Oct-2019
Female,34.34.110.102,withdraw,savings,375299.97,03-Oct-2019
Female,233.90.74.206,withdraw,savings,115145.9,12-Oct-2019
Male,114.108.208.232,withdraw,savings,72984.77,10-Oct-2019
Female,78.59.252.49,deposit,checking,782493.38,24-Oct-2019
Female,208.198.80.160,withdraw,checking,972940.43,06-Oct-2019
Male,106.8.30.74,deposit,savings,63733.71,26-Oct-2019
Male,251.186.152.64,deposit,checking,888544.6,09-Oct-2019
Female,87.238.201.154,deposit,checking,828258.0,06-Oct-2019
Male,245.239.42.180,withdraw,checking,444786.4,19-Oct-2019
Female,76.102.51.131,deposit,checking,744236.79,13-Oct-2019
Female,205.147.189.200,deposit,savings,95888.11,27-Oct-2019
Female,222.4.240.233,deposit,savings,930828.06,08-Oct-2019
Male,12.235.8.251,deposit,savings,690516.48,24-Oct-2019
Male,62.7.184.50,withdraw,checking,382945.98,12-Oct-2019
Male,111.147.205.91,withdraw,savings,720796.95,06-Oct-2019
Male,48.249.248.144,deposit,checking,201314.91,05-Oct-2019
Male,173.190.194.78,withdraw,checking,877103.31,13-Oct-2019
Male,219.125.85.70,withdraw,savings,774436.97,25-Oct-2019
Female,59.199.254.194,withdraw,savings,751625.52,11-Oct-2019
Female,62.217.29.197,withdraw,checking,924272.7,23-Oct-2019
Female,20.36.48.104,withdraw,checking,290971.95,18-Oct-2019
Female,108.149.236.136,withdraw,savings,542436.63,28-Oct-2019
Male,64.186.220.163,withdraw,savings,378582.83,24-Oct-2019
Female,37.99.5.122,withdraw,checking,279737.74,05-Oct-2019
Female,69.23.252.58,withdraw,checking,89616.48,25-Oct-2019
Male,250.170.123.231,withdraw,savings,892625.98,26-Oct-2019
Female,27.236.151.180,withdraw,checking,294183.74,18-Oct-2019
Male,64.102.32.209,withdraw,savings,712942.25,10-Oct-2019
Male,103.134.146.112,withdraw,savings,799530.65,08-Oct-2019
Male,2.193.221.243,deposit,checking,232397.55,11-Oct-2019
Male,169.124.213.64,withdraw,savings,370432.15,01-Oct-2019
Male,113.38.177.84,deposit,checking,555736.35,02-Oct-2019
Male,109.122.72.155,withdraw,savings,37108.13,09-Oct-2019
Male,237.184.102.41,withdraw,savings,608921.08,26-Oct-2019
Female,245.110.180.115,withdraw,checking,342461.35,23-Oct-2019
Male,70.76.241.212,withdraw,savings,608434.11,13-Oct-2019
Male,16.73.159.37,withdraw,savings,566588.89,09-Oct-2019
Female,193.155.11.33,deposit,savings,129960.56,26-Oct-2019
Female,48.75.189.171,withdraw,checking,613363.91,24-Oct-2019
Female,236.163.74.204,withdraw,savings,966374.83,25-Oct-2019
Male,213.146.91.124,deposit,savings,991536.03,15-Oct-2019
Male,44.237.30.56,deposit,savings,489957.38,03-Oct-2019
Female,157.103.120.43,deposit,checking,406808.55,22-Oct-2019
Male,88.52.2.239,withdraw,checking,982093.82,26-Oct-2019
Male,81.16.218.12,withdraw,checking,888318.0,21-Oct-2019
Male,170.73.45.226,deposit,savings,771974.25,16-Oct-2019
Female,166.163.125.221,withdraw,savings,838036.0,15-Oct-2019
Male,144.38.189.79,withdraw,checking,697429.71,18-Oct-2019
Male,134.174.187.81,deposit,checking,775008.88,10-Oct-2019
Male,62.86.116.100,withdraw,savings,442397.53,16-Oct-2019
Male,195.195.30.35,withdraw,checking,723101.19,10-Oct-2019
Male,168.80.243.188,withdraw,savings,407137.07,15-Oct-2019
Male,105.176.246.97,deposit,savings,642816.61,20-Oct-2019
Female,55.190.193.235,withdraw,checking,462698.72,23-Oct-2019
Male,110.206.180.251,withdraw,savings,868101.93,13-Oct-2019
Female,137.59.221.146,withdraw,checking,349619.09,04-Oct-2019
Female,62.18.251.250,withdraw,savings,399926.5,20-Oct-2019
Female,140.213.149.35,withdraw,savings,998889.45,11-Oct-2019
Female,156.196.110.81,withdraw,checking,207193.84,25-Oct-2019
Female,212.180.109.26,withdraw,savings,121266.97,27-Oct-2019
Male,121.103.137.58,deposit,savings,481732.36,22-Oct-2019
Male,191.73.93.217,deposit,checking,552823.29,15-Oct-2019
Male,105.37.69.33,deposit,savings,892236.14,06-Oct-2019
Male,177.250.119.3,deposit,savings,245437.87,18-Oct-2019
Male,252.204.15.121,withdraw,savings,481524.25,12-Oct-2019
Male,129.204.244.122,deposit,checking,669453.39,07-Oct-2019
Male,50.120.82.206,withdraw,savings,936951.29,15-Oct-2019
Female,220.25.74.246,withdraw,savings,490331.07,08-Oct-2019
Female,122.208.21.19,withdraw,checking,149126.94,01-Oct-2019
Female,124.8.33.21,deposit,checking,805802.16,23-Oct-2019
Female,229.170.228.170,deposit,savings,241238.45,26-Oct-2019
Male,220.68.188.169,withdraw,savings,662355.58,03-Oct-2019
Female,169.3.200.75,withdraw,savings,359969.38,15-Oct-2019
Male,56.158.211.58,deposit,checking,345263.31,09-Oct-2019
Male,193.205.140.189,deposit,savings,998217.39,04-Oct-2019
Female,219.11.19.116,withdraw,savings,908188.97,20-Oct-2019
Female,117.78.74.18,deposit,checking,874339.48,04-Oct-2019
Female,64.50.245.181,deposit,savings,647082.65,16-Oct-2019
Female,125.155.19.114,withdraw,checking,918658.62,17-Oct-2019
Female,114.104.171.160,deposit,checking,172687.55,08-Oct-2019
Male,197.246.200.242,withdraw,savings,276355.75,18-Oct-2019
Male,22.45.85.222,withdraw,checking,182930.44,01-Oct-2019
Male,15.180.159.143,withdraw,checking,986927.51,05-Oct-2019
Male,255.173.76.4,withdraw,savings,262486.81,06-Oct-2019
Male,152.15.67.222,withdraw,savings,866134.32,06-Oct-2019
Female,241.199.198.13,deposit,checking,652531.06,07-Oct-2019
Female,113.243.165.185,withdraw,checking,465730.79,24-Oct-2019
Female,130.234.71.3,deposit,savings,536766.9,13-Oct-2019
Male,128.223.212.165,withdraw,savings,184955.25,18-Oct-2019
Female,237.30.130.214,withdraw,savings,528837.3,26-Oct-2019
Male,174.249.109.240,withdraw,savings,53701.25,19-Oct-2019
Female,176.148.144.1,withdraw,checking,983645.48,21-Oct-2019
Male,70.122.145.181,withdraw,checking,990525.8,13-Oct-2019
Male,70.141.24.36,deposit,savings,218336.52,09-Oct-2019
Female,231.186.194.229,withdraw,savings,181306.5,11-Oct-2019
Female,150.217.119.112,deposit,savings,60511.7,03-Oct-2019
Male,84.128.77.209,deposit,savings,721730.01,26-Oct-2019
Male,36.234.224.2,withdraw,checking,131765.12,25-Oct-2019
Female,230.155.151.191,withdraw,checking,427974.43,01-Oct-2019
Female,198.175.98.238,withdraw,savings,868188.48,08-Oct-2019
Female,224.41.236.120,deposit,checking,906563.0,09-Oct-2019
Female,51.112.23.186,withdraw,savings,910454.82,15-Oct-2019
Female,201.45.37.7,deposit,checking,130307.87,14-Oct-2019
Female,208.89.22.111,deposit,checking,560164.25,10-Oct-2019
Male,244.49.89.73,withdraw,checking,815891.05,15-Oct-2019
Male,79.226.100.98,deposit,savings,464217.62,27-Oct-2019
Male,160.108.117.2,deposit,checking,450231.0,24-Oct-2019
Female,110.158.104.108,deposit,savings,937351.3,18-Oct-2019
Male,10.251.172.151,deposit,savings,526720.13,02-Oct-2019
Male,60.11.155.102,withdraw,checking,566756.76,18-Oct-2019
Male,54.174.40.112,deposit,savings,387001.44,18-Oct-2019
Female,77.123.52.148,withdraw,savings,957135.0,11-Oct-2019
Female,216.100.159.145,withdraw,checking,66122.32,28-Oct-2019
Male,162.110.220.192,deposit,savings,252615.45,21-Oct-2019
Male,82.250.171.245,deposit,checking,454640.56,25-Oct-2019
Female,66.139.124.168,withdraw,checking,542309.93,27-Oct-2019
Female,241.6.47.133,deposit,checking,363615.81,11-Oct-2019
Female,112.90.10.195,deposit,checking,229873.0,11-Oct-2019
Female,19.205.113.141,deposit,savings,426756.69,20-Oct-2019
Male,78.99.242.38,withdraw,savings,264736.19,04-Oct-2019
Female,246.82.167.161,deposit,savings,233652.47,02-Oct-2019
Female,130.218.34.30,withdraw,checking,836108.7,02-Oct-2019
Female,43.155.147.134,withdraw,savings,175353.51,14-Oct-2019
Female,145.82.138.29,withdraw,checking,766496.38,26-Oct-2019
Female,124.247.101.111,withdraw,savings,738061.72,26-Oct-2019
Male,72.217.237.162,withdraw,savings,476558.43,03-Oct-2019
Female,224.72.245.248,withdraw,savings,760847.48,05-Oct-2019
Male,235.39.54.40,withdraw,savings,235922.0,05-Oct-2019
Male,135.57.7.246,withdraw,checking,872206.48,22-Oct-2019
Female,75.227.81.52,deposit,savings,696754.35,23-Oct-2019
Female,12.195.241.66,withdraw,savings,92526.47,19-Oct-2019
Male,131.96.19.193,withdraw,savings,358980.05,08-Oct-2019
Female,12.149.51.146,withdraw,checking,208639.71,18-Oct-2019
Female,127.191.239.248,deposit,checking,51292.82,20-Oct-2019
Female,78.58.101.213,deposit,savings,457227.82,28-Oct-2019
Male,165.74.176.102,withdraw,savings,406843.54,20-Oct-2019
Female,186.225.174.167,deposit,savings,662087.45,24-Oct-2019
Male,232.135.145.249,deposit,savings,855829.09,20-Oct-2019
Male,236.145.141.171,withdraw,savings,345017.59,14-Oct-2019
Male,124.113.2.55,withdraw,checking,241228.91,22-Oct-2019
Male,68.54.186.200,deposit,checking,971258.75,06-Oct-2019
Male,231.198.149.141,withdraw,checking,700885.39,25-Oct-2019
Female,111.161.177.198,deposit,savings,802244.37,24-Oct-2019
Male,135.236.117.172,withdraw,checking,142862.06,05-Oct-2019
Male,231.130.196.209,withdraw,checking,421149.27,21-Oct-2019
Male,168.124.215.19,withdraw,savings,611176.95,21-Oct-2019
Male,55.230.225.97,withdraw,checking,142527.92,22-Oct-2019
Male,246.210.144.234,withdraw,savings,461831.05,21-Oct-2019
Male,12.231.170.139,withdraw,savings,155006.55,27-Oct-2019
Female,82.222.163.173,deposit,savings,210139.76,08-Oct-2019
Male,49.182.105.213,withdraw,savings,268519.82,26-Oct-2019
Male,49.118.68.145,withdraw,checking,519909.51,04-Oct-2019
Female,188.143.131.135,withdraw,checking,546345.33,10-Oct-2019
Male,188.242.242.177,withdraw,savings,654641.15,13-Oct-2019
Male,169.229.85.151,withdraw,checking,285336.06,19-Oct-2019
Female,77.144.24.105,withdraw,checking,891706.51,02-Oct-2019
Female,28.115.105.28,withdraw,savings,677155.8,24-Oct-2019
Female,61.2.173.10,withdraw,checking,274757.65,25-Oct-2019
Male,6.179.103.155,withdraw,savings,854604.09,27-Oct-2019
Female,129.249.56.87,withdraw,savings,274969.63,08-Oct-2019
Male,48.217.229.127,withdraw,savings,889227.29,18-Oct-2019
Female,104.228.80.93,withdraw,checking,380681.44,09-Oct-2019
Female,174.166.201.7,deposit,savings,558787.84,12-Oct-2019
Male,51.95.87.151,withdraw,checking,395665.78,28-Oct-2019
Female,39.128.245.182,withdraw,checking,339221.12,05-Oct-2019
Female,172.209.42.57,withdraw,checking,378045.59,06-Oct-2019
Female,200.171.57.134,withdraw,savings,680452.12,18-Oct-2019
Female,70.96.81.62,withdraw,checking,119739.83,02-Oct-2019
Female,249.100.35.144,withdraw,checking,397817.52,22-Oct-2019
Female,66.154.207.1,withdraw,savings,642082.61,08-Oct-2019
Male,171.218.66.131,withdraw,checking,987270.82,22-Oct-2019
Female,146.111.147.172,deposit,savings,854858.5,02-Oct-2019
Female,35.32.181.50,withdraw,savings,744558.96,13-Oct-2019
Female,1.193.203.52,withdraw,checking,907207.13,20-Oct-2019
Male,30.168.190.163,withdraw,checking,304521.92,22-Oct-2019
Female,187.211.158.198,deposit,savings,49006.03,06-Oct-2019
Male,226.164.53.41,withdraw,savings,254116.57,02-Oct-2019
Male,217.242.60.58,deposit,checking,555635.95,11-Oct-2019
Male,255.45.30.159,withdraw,checking,685104.72,01-Oct-2019
Female,217.184.222.104,deposit,savings,161718.66,11-Oct-2019
Male,3.97.45.15,deposit,checking,723170.16,24-Oct-2019
Female,18.188.84.0,withdraw,checking,845714.54,04-Oct-2019
Female,193.66.249.12,withdraw,checking,509956.52,20-Oct-2019
Male,120.172.153.228,deposit,savings,510765.32,13-Oct-2019
Female,74.149.44.14,deposit,checking,695657.32,15-Oct-2019
Male,132.22.125.54,withdraw,savings,39614.1,28-Oct-2019
Female,134.214.104.43,withdraw,savings,998426.33,21-Oct-2019
Male,240.187.23.176,deposit,checking,40349.23,14-Oct-2019
Female,196.188.202.99,deposit,savings,415244.96,21-Oct-2019
Female,54.253.81.122,deposit,checking,829544.0,20-Oct-2019
Female,10.192.110.211,deposit,checking,224364.33,04-Oct-2019
Male,243.178.22.163,deposit,checking,917036.59,03-Oct-2019
Female,66.39.90.30,deposit,savings,672864.0,26-Oct-2019
Male,228.232.107.52,withdraw,savings,274000.01,07-Oct-2019
Female,229.73.74.28,withdraw,savings,930548.22,15-Oct-2019
Female,139.239.174.214,deposit,checking,855348.67,28-Oct-2019
Male,5.62.81.110,withdraw,checking,946037.64,15-Oct-2019
Male,230.173.31.49,withdraw,savings,957735.52,15-Oct-2019
Male,202.159.62.148,withdraw,savings,344872.58,04-Oct-2019
Female,46.62.9.247,withdraw,checking,320126.6,23-Oct-2019
Male,112.68.29.40,withdraw,savings,460718.1,15-Oct-2019
Male,15.95.7.216,deposit,savings,825300.73,22-Oct-2019
Male,41.32.129.48,withdraw,savings,170483.0,22-Oct-2019
Female,248.244.147.97,withdraw,savings,573657.19,23-Oct-2019
Female,239.36.182.125,withdraw,savings,217792.67,16-Oct-2019
Male,117.205.82.214,deposit,savings,621451.17,04-Oct-2019
Female,239.39.61.160,deposit,checking,200318.32,19-Oct-2019
Male,101.49.168.15,withdraw,checking,951378.56,09-Oct-2019
Male,121.170.171.153,withdraw,savings,619035.99,20-Oct-2019
Male,132.37.211.162,withdraw,savings,28806.82,11-Oct-2019
Female,133.31.12.87,deposit,savings,813213.39,22-Oct-2019
Female,10.174.69.193,deposit,savings,856053.31,03-Oct-2019
Male,245.46.195.213,withdraw,checking,472026.01,16-Oct-2019
Female,234.158.91.129,deposit,checking,191268.73,04-Oct-2019
Female,169.187.130.210,withdraw,savings,877547.7,05-Oct-2019
Female,225.134.7.55,withdraw,checking,773161.0,02-Oct-2019
Male,48.166.190.168,withdraw,savings,57705.96,09-Oct-2019
Male,29.205.55.217,withdraw,savings,172810.84,16-Oct-2019
Female,17.40.223.38,deposit,savings,841697.24,04-Oct-2019
Female,230.185.72.50,withdraw,savings,119076.74,06-Oct-2019
Female,136.93.29.45,withdraw,savings,567261.01,19-Oct-2019
Male,85.252.136.3,withdraw,checking,281686.35,05-Oct-2019
Female,30.243.203.131,withdraw,savings,171567.24,21-Oct-2019
Female,215.178.241.166,deposit,checking,738304.51,28-Oct-2019
Male,91.226.230.64,withdraw,checking,334568.83,27-Oct-2019
Female,160.203.99.220,withdraw,savings,673221.51,03-Oct-2019
Male,94.252.57.213,withdraw,checking,491976.1,07-Oct-2019
Female,80.194.75.218,withdraw,savings,593460.96,19-Oct-2019
Male,91.227.115.190,withdraw,checking,843498.7,21-Oct-2019
Female,251.210.117.99,withdraw,savings,872253.99,02-Oct-2019
Female,131.90.105.187,withdraw,checking,220123.36,02-Oct-2019
Male,104.118.76.14,withdraw,checking,162160.35,08-Oct-2019
Male,180.30.189.10,withdraw,checking,41499.55,16-Oct-2019
Male,25.19.82.113,deposit,savings,629420.63,18-Oct-2019
Female,16.98.219.100,deposit,savings,632748.39,17-Oct-2019
Male,103.234.173.211,withdraw,checking,634443.96,12-Oct-2019
Male,12.225.55.102,withdraw,checking,606428.91,07-Oct-2019
Female,228.126.113.73,deposit,checking,934765.33,20-Oct-2019
Female,92.246.73.60,withdraw,savings,969782.62,05-Oct-2019
Male,171.130.138.209,deposit,savings,98613.17,26-Oct-2019
Female,60.170.11.209,deposit,checking,807527.09,07-Oct-2019
Male,137.152.73.103,withdraw,checking,147644.0,13-Oct-2019
Male,15.101.137.67,withdraw,checking,131916.14,10-Oct-2019
Female,248.24.76.156,withdraw,checking,719553.61,19-Oct-2019
Male,35.142.194.117,withdraw,savings,478494.8,20-Oct-2019
Male,222.141.198.174,withdraw,savings,953037.0,08-Oct-2019
Female,111.58.55.231,withdraw,savings,416218.98,13-Oct-2019
Male,166.237.113.136,withdraw,savings,936893.44,11-Oct-2019
Female,227.101.0.139,withdraw,savings,275775.14,24-Oct-2019
Female,168.157.215.145,withdraw,savings,169330.02,16-Oct-2019
Female,101.174.249.65,deposit,savings,261790.15,25-Oct-2019
Female,158.115.156.93,deposit,checking,168337.18,27-Oct-2019
Female,199.179.94.9,withdraw,checking,343371.31,03-Oct-2019
Male,120.133.151.46,withdraw,savings,967694.03,20-Oct-2019
Female,129.110.187.145,withdraw,savings,629426.9,22-Oct-2019
Male,48.223.187.41,withdraw,checking,580859.21,26-Oct-2019
Female,156.65.255.197,withdraw,savings,188618.77,05-Oct-2019
Female,52.170.2.131,withdraw,savings,911315.83,14-Oct-2019
Female,28.105.199.22,withdraw,savings,443786.14,18-Oct-2019
Female,228.106.228.198,deposit,checking,231235.01,03-Oct-2019
Female,252.91.250.110,withdraw,savings,971566.17,16-Oct-2019
Male,176.200.138.96,withdraw,checking,846863.01,13-Oct-2019
Male,110.254.212.94,deposit,savings,891830.81,03-Oct-2019
Male,228.51.175.53,withdraw,checking,930169.0,07-Oct-2019
Male,4.40.21.124,deposit,savings,836185.12,04-Oct-2019
Male,10.165.90.149,withdraw,checking,709245.87,14-Oct-2019
Female,172.117.66.141,withdraw,checking,675855.01,19-Oct-2019
Male,175.121.17.27,withdraw,savings,642185.44,13-Oct-2019
Female,36.190.43.160,withdraw,checking,783733.05,06-Oct-2019
Female,245.208.10.98,deposit,checking,199869.22,28-Oct-2019
Male,201.69.156.62,deposit,savings,682959.15,21-Oct-2019
Male,105.220.227.33,deposit,checking,938872.0,09-Oct-2019
Male,38.1.199.182,withdraw,savings,589914.75,20-Oct-2019
Female,165.87.22.57,withdraw,savings,875130.18,03-Oct-2019
Male,153.37.99.16,withdraw,savings,450802.02,24-Oct-2019
Male,248.81.210.188,withdraw,savings,65918.59,08-Oct-2019
Male,2.60.222.102,deposit,savings,378605.07,03-Oct-2019
Female,212.204.75.64,withdraw,checking,575542.0,08-Oct-2019
Male,248.118.6.92,withdraw,savings,499889.69,24-Oct-2019
Male,197.140.78.243,withdraw,checking,213476.96,15-Oct-2019
Male,166.135.127.24,withdraw,savings,986457.01,28-Oct-2019
Male,237.81.139.217,withdraw,checking,778024.27,12-Oct-2019
Female,128.52.189.87,withdraw,checking,758522.0,24-Oct-2019
Female,110.183.61.98,withdraw,savings,618043.34,15-Oct-2019
Female,179.207.244.137,deposit,savings,992931.31,19-Oct-2019
Male,50.2.244.237,deposit,checking,17046.17,25-Oct-2019
Male,142.177.119.212,withdraw,savings,553203.65,01-Oct-2019
Female,146.111.248.181,withdraw,savings,206810.29,04-Oct-2019
Female,63.108.158.228,deposit,savings,224624.99,12-Oct-2019
Female,237.102.172.84,withdraw,checking,824418.01,28-Oct-2019
Male,35.73.164.100,deposit,savings,25320.31,28-Oct-2019
Male,216.90.219.207,withdraw,savings,176955.34,07-Oct-2019
Male,246.224.209.39,withdraw,checking,910015.19,12-Oct-2019
Male,107.44.8.175,deposit,checking,671644.91,12-Oct-2019
Female,15.95.220.167,deposit,savings,908049.51,06-Oct-2019
Female,43.249.159.77,deposit,checking,612557.61,02-Oct-2019
Male,65.172.136.56,deposit,checking,791621.86,22-Oct-2019
Female,105.122.29.219,deposit,savings,154318.2,22-Oct-2019
Male,130.212.243.72,withdraw,checking,557747.3,18-Oct-2019
Female,28.138.215.103,deposit,savings,475199.0,15-Oct-2019
Female,173.125.102.130,deposit,checking,788229.48,08-Oct-2019
Male,53.249.164.41,withdraw,checking,529106.93,06-Oct-2019
Male,84.227.102.215,withdraw,savings,15781.11,16-Oct-2019
Male,249.239.223.38,withdraw,savings,991398.66,06-Oct-2019
Female,28.227.91.84,withdraw,savings,638711.03,08-Oct-2019
Male,47.178.172.138,withdraw,savings,407901.5,25-Oct-2019
Male,109.146.250.117,deposit,savings,857801.96,24-Oct-2019
Female,167.222.146.144,deposit,savings,995634.2,05-Oct-2019
Male,130.174.60.224,deposit,savings,155790.47,02-Oct-2019
Female,168.129.231.194,deposit,checking,962157.75,19-Oct-2019
Female,102.218.0.80,withdraw,checking,658660.17,09-Oct-2019
Male,234.189.71.232,withdraw,savings,395632.01,12-Oct-2019
Male,58.255.9.75,deposit,checking,439672.41,24-Oct-2019
Male,168.220.167.62,deposit,savings,828187.79,07-Oct-2019
Female,47.38.18.85,deposit,checking,747059.1,07-Oct-2019
Male,241.126.161.238,deposit,savings,197451.17,18-Oct-2019
Male,112.55.117.167,withdraw,savings,214025.26,17-Oct-2019
Female,108.48.147.169,withdraw,checking,22078.64,03-Oct-2019
Male,205.230.99.139,withdraw,savings,564963.1,08-Oct-2019
Female,49.40.249.174,deposit,savings,60375.69,15-Oct-2019
Male,165.246.250.18,withdraw,savings,17463.63,04-Oct-2019
Male,32.107.186.91,deposit,savings,337601.16,15-Oct-2019
Female,127.218.130.25,deposit,checking,850928.27,17-Oct-2019
Male,221.234.117.174,withdraw,savings,35636.6,25-Oct-2019
Female,218.48.151.73,withdraw,checking,406880.15,26-Oct-2019
Female,78.108.129.135,withdraw,savings,917029.49,09-Oct-2019
Female,212.36.113.187,withdraw,savings,871599.04,26-Oct-2019
Male,8.57.169.118,withdraw,savings,687406.93,27-Oct-2019
Female,38.197.118.90,withdraw,checking,555787.96,06-Oct-2019
Male,142.246.152.43,withdraw,savings,65849.9,05-Oct-2019
Male,206.44.65.226,withdraw,checking,670363.47,24-Oct-2019
Male,220.79.241.183,deposit,checking,337751.01,04-Oct-2019
Female,29.76.61.182,withdraw,savings,607558.42,15-Oct-2019
Female,47.95.22.49,withdraw,checking,918886.0,06-Oct-2019
Female,224.65.87.62,withdraw,checking,187425.39,12-Oct-2019
Male,247.68.2.75,withdraw,savings,202118.52,05-Oct-2019
Female,104.47.13.246,withdraw,savings,741555.43,04-Oct-2019
Male,211.217.163.101,deposit,checking,538350.57,20-Oct-2019
Male,150.174.174.239,withdraw,checking,747448.59,22-Oct-2019
Male,147.112.81.76,withdraw,savings,181294.38,04-Oct-2019
Male,9.141.196.116,withdraw,savings,409191.48,20-Oct-2019
Female,201.28.12.134,withdraw,checking,578345.96,27-Oct-2019
Male,232.216.4.82,deposit,savings,785255.28,22-Oct-2019
Female,73.64.227.34,withdraw,checking,382386.03,17-Oct-2019
Male,122.68.153.141,withdraw,checking,911738.47,16-Oct-2019
Female,109.193.242.46,withdraw,checking,732811.32,09-Oct-2019
Female,186.72.188.84,withdraw,checking,828699.27,08-Oct-2019
Female,238.83.90.105,withdraw,savings,488184.13,26-Oct-2019
Male,82.60.117.231,withdraw,savings,615668.51,20-Oct-2019
Male,194.126.160.37,deposit,checking,995115.7,26-Oct-2019
Female,91.205.177.61,withdraw,savings,962337.31,03-Oct-2019
Male,253.89.50.95,withdraw,savings,462885.44,10-Oct-2019
Male,166.168.107.12,deposit,checking,660156.18,18-Oct-2019
Male,209.206.117.181,withdraw,savings,448185.39,24-Oct-2019
Female,232.70.152.80,withdraw,savings,585707.61,27-Oct-2019
Male,101.196.11.169,withdraw,savings,545871.57,18-Oct-2019
Male,165.184.38.126,withdraw,savings,589356.6,18-Oct-2019
Male,72.14.23.193,withdraw,checking,260773.34,04-Oct-2019
Female,163.94.4.138,deposit,checking,128779.22,19-Oct-2019
Male,42.144.219.58,withdraw,checking,41053.19,08-Oct-2019
Female,81.87.32.68,withdraw,checking,765198.08,20-Oct-2019
Female,28.92.18.158,withdraw,checking,526605.15,26-Oct-2019
Male,150.170.142.95,withdraw,checking,765138.46,01-Oct-2019
Male,91.147.142.70,deposit,savings,453124.06,24-Oct-2019
Female,166.89.3.223,withdraw,checking,11433.38,17-Oct-2019
Male,215.1.226.217,withdraw,savings,435339.9,06-Oct-2019
Male,192.0.190.40,deposit,checking,746781.28,11-Oct-2019
Female,99.216.18.137,deposit,savings,714003.0,18-Oct-2019
Female,204.8.189.155,deposit,checking,226910.57,02-Oct-2019
Male,74.122.89.40,deposit,checking,557345.06,04-Oct-2019
Female,192.179.162.225,withdraw,checking,540663.0,11-Oct-2019
Male,136.254.242.47,withdraw,checking,124732.69,17-Oct-2019
Female,36.217.23.180,withdraw,checking,821616.22,09-Oct-2019
Male,169.9.28.18,withdraw,checking,708448.78,11-Oct-2019
